recv_time_ms,node,topic,latency_ms
1764453232599,lt-37,sensors/test/environment,41
1764453232604,lt-11,sensors/test/environment,41
1764453232605,lt-2,sensors/test/environment,41
1764453232606,lt-46,sensors/test/environment,41
1764453232606,lt-20,sensors/test/environment,41
1764453232608,lt-29,sensors/test/environment,41
1764453232610,lt-38,sensors/test/environment,40
1764453232611,lt-3,sensors/test/environment,41
1764453232615,lt-12,sensors/test/environment,41
1764453232617,lt-21,sensors/test/environment,41
1764453232617,lt-47,sensors/test/environment,41
1764453232618,lt-30,sensors/test/environment,41
1764453232620,lt-39,sensors/test/environment,41
1764453232624,lt-4,sensors/test/environment,41
1764453232624,lt-13,sensors/test/environment,41
1764453232626,lt-48,sensors/test/environment,41
1764453232626,lt-22,sensors/test/environment,41
1764453232632,lt-31,sensors/test/environment,40
1764453232632,lt-40,sensors/test/environment,41
1764453232633,lt-14,sensors/test/environment,41
1764453232634,lt-5,sensors/test/environment,41
1764453232636,lt-49,sensors/test/environment,41
1764453232637,lt-23,sensors/test/environment,41
1764453232639,lt-32,sensors/test/environment,41
1764453232644,lt-6,sensors/test/environment,41
1764453232645,lt-15,sensors/test/environment,42
1764453232646,lt-41,sensors/test/environment,41
1764453232647,lt-24,sensors/test/environment,41
1764453232649,lt-33,sensors/test/environment,41
1764453232654,lt-7,sensors/test/environment,41
1764453232656,lt-16,sensors/test/environment,41
1764453232657,lt-42,sensors/test/environment,41
1764453232657,lt-25,sensors/test/environment,41
1764453232661,lt-34,sensors/test/environment,40
1764453232664,lt-17,sensors/test/environment,41
1764453232665,lt-43,sensors/test/environment,42
1764453232666,lt-8,sensors/test/environment,42
